,p0q0
169,0.70601827
170,-0.077708915
171,-0.2636285
172,-0.11084809
173,-0.104889
174,-0.19721638
175,0.52467895
176,0.32324862
177,-0.17775133
178,0.4268229
179,0.37415683
180,-0.21989587
181,0.59767216
182,-0.42306644
183,-0.045784432
184,-0.17442304
185,0.586983
186,-0.039639506
187,-0.3511958
188,0.19717464
189,-0.056031026
190,-0.21915619
191,0.13554521
192,0.07788095
193,-0.17908248
194,0.40931806
195,-0.53474057
196,-0.2146223
197,-0.33292538
198,-0.47859913
199,-0.4940563
200,-0.26217332
201,-0.8796611
202,-0.34454128
203,-0.13113078
204,-0.76042265
205,-0.41326997
206,-0.3663648
207,-0.8840475
208,-0.42596877
209,-0.42015702
210,-1.1099099
211,-0.18925834
212,-0.389046
213,0.059167378
214,0.55094784
215,0.21814518
216,0.012182547
217,1.166154
218,0.53356326
219,0.38569003
220,-0.34965166
221,1.2800227
222,0.38866308
223,0.09560896
224,0.10476399
225,1.296937
226,-0.043879144
227,0.048455022
228,-0.11247708
229,1.4988974
230,0.57674265
231,0.050714232
232,-0.06231474
233,1.4559546
234,0.3744273
235,0.053165544
236,-0.2196175
237,1.0966563
238,0.54914033
239,0.28988498
240,-0.11336969
241,1.4577502
242,-1.5432959
243,0.30667958
244,-0.22695471
245,1.3495398
246,0.6537924
247,0.026103659
248,-0.09014535
249,0.15234563
250,0.112850875
251,0.0134603195
252,-0.118105605
253,1.0618802
254,0.47671288
255,0.23424551
256,-0.2900016
257,1.7124501
258,0.43177775
259,0.102020964
260,0.015293052
261,1.510115
262,0.444771
263,-0.22484556
264,-0.078924164
265,-0.20691809
266,-0.050103143
267,-0.024680339
268,-0.09973234
269,-0.00556694
270,0.009721385
271,-0.027905459
272,-1.0431508
273,-0.32864472
274,0.321046
275,-0.19546786
276,-1.0265874
277,-0.1712113
278,0.31595948
279,-0.23806436
280,-0.65161115
281,-0.29364377
282,0.3412885
283,-0.23408198
284,-0.9352001
285,-0.29103252
286,-0.015097443
287,-0.08607637
288,0.01567442
289,0.4374108
290,0.24887227
291,-0.17737634
292,-0.95208013
293,-0.2812688
294,-1.1111013
295,0.002411172
296,-0.5429521
297,-0.29512095
298,0.15338795
299,-0.8061692
300,-0.07689883
301,-0.7104895
302,-0.015462721
303,-0.98747647
304,-0.09222573
305,-0.912243
306,-0.45166808
307,-2.4855063
308,-0.15798998
309,-2.1631856
310,-0.31463954
311,-1.1076211
312,-0.080037504
313,-0.67501587
314,-0.2390255
315,0.5052952
316,0.08354657
317,0.15860668
318,-0.39969242
319,0.56253064
320,0.12713881
321,0.09060435
322,-0.47798175
323,0.44811752
324,0.033607915
325,0.1560876
326,-0.39969242
327,0.45030951
328,0.69560236
329,0.17248806
330,-0.4367123
331,-0.33303759
332,-1.2190007
333,0.18304986
334,-0.041169092
335,2.4458537
336,-1.0983579
337,0.4732372
338,-0.038545694
339,1.8518388
340,-0.09373929
341,-0.09547577
342,0.0487094
343,2.1695683
344,-1.8929644
345,0.12256098
346,-0.2544839
347,0.83827007
348,-1.9459623
349,-0.19918174
350,-0.24049018
351,1.7095548
352,-1.7421054
353,0.1786804
354,-0.46801937
355,1.7035239
356,-1.1216879
357,0.25075653
358,-0.48230416
359,1.2387847
360,-1.4436765
361,-0.1026106
362,-0.43300465
363,1.2896239
364,-1.620008
365,0.032597743
366,-0.25858477
367,0.8088547
368,-1.6070609
369,0.06913545
370,0.10912489
371,0.26145843
372,1.3610828
373,-1.0397784
374,0.18212894
375,-0.5482193
376,2.1953852
377,-1.6333536
378,-0.2880481
379,-0.4252681
380,0.084135585
381,-0.20944126
382,0.38914475
383,0.054227456
384,-0.3223021
385,0.13383049
386,0.19048359
387,0.07147186
388,-0.1973703
389,0.29161605
390,-0.19933942
391,0.13380086
392,-0.36168405
393,0.02867523
394,0.22634643
395,0.06618453
396,-0.0999264
397,-0.06785613
398,0.12233831
399,0.09690793
400,-0.49912924
401,-0.48576367
402,-0.08952175
403,0.019004147
404,-0.5925734
405,0.22979191
406,0.10119057
407,-0.042091265
408,-0.45952448
409,-0.114919074
410,-0.3096872
411,0.04047054
412,-0.41569826
413,0.30996263
414,-0.0017566956
415,0.2582279
416,-0.13318455
417,-0.51635236
418,-0.09086076
419,-0.10343578
420,-0.5435989
421,-0.11963784
422,0.015254414
423,0.04535975
424,0.22798681
425,-0.3157893
426,0.37145987
427,0.018931651
428,0.39219072
429,0.3294059
430,0.19060308
431,0.61107373
432,0.22410806
433,0.21384177
434,-0.690314
435,0.24878973
436,1.0110122
437,-0.17424496
438,-1.0211407
439,0.62475884
440,0.93136066
441,-0.07786548
442,-1.0133102
443,0.35860935
444,0.74257255
445,0.0732682
446,-0.64285
447,-0.6218223
448,-0.5272046
449,-0.8766302
450,-0.79902387
451,0.080854185
452,-1.2706755
453,-0.8051113
454,-0.7358312
455,-0.8975706
456,-0.91170394
457,-0.38552517
458,-3.1844583
459,-1.1568662
460,-0.21500702
461,-0.5624883
462,-0.758368
463,-0.17560633
464,-0.9624968
465,-0.9873384
466,-0.2931583
467,-1.1579938
468,0.4641138
469,0.3848723
470,-0.24573812
471,0.76967835
472,-0.28273147
473,0.03340677
474,0.35859686
475,0.057340465
476,-0.24059036
477,0.59293056
478,-0.20776491
479,-0.07841896
480,0.48619357
481,-0.11666224
482,-0.17901477
483,0.39809045
484,0.15162434
485,0.008483015
486,0.5563285
487,0.03507463
488,-0.11616313
489,0.5024598
490,-0.01970529
491,-0.61900777
492,-0.5683891
493,0.45858833
494,-0.6489221
495,-0.67804074
496,0.39084125
497,-0.8280889
498,-0.4166894
499,0.4218042
500,-0.9621324
501,-0.5967
502,0.32520652
503,-1.7606279
504,-0.08350797
505,-0.0046225754
506,-0.22328027
507,0.23312446
508,-0.32386512
509,-0.1151925
510,-0.3535822
511,-0.18714643
512,-0.61922467
513,0.45495474
514,-1.3779982
515,-0.45786297
516,0.5283439
517,-0.9686011
518,-0.61436886
519,0.44336155
520,-0.8445246
521,-0.5195186
522,0.74087757
523,-0.7586447
524,-0.67054087
525,0.4218042
526,-0.7908353
527,-0.6083008
528,0.5586916
529,-0.08267876
530,-1.1397089
531,0.22140396
532,-0.70721406
533,-0.4706726
534,-1.1627951
535,-0.09609542
536,-1.2691419
537,-0.10226636
538,-0.69066393
539,-1.079319
540,0.71975917
541,-0.83667105
542,0.3703567
543,-0.39874464
544,-0.40901786
545,-0.65314656
546,0.039462674
547,-0.9263788
548,-0.71108174
549,-0.14609899
550,0.06913048
551,-0.4517934
552,-0.5225206
553,-0.35528147
554,0.10847799
555,-0.4507738
556,-0.5933997
557,-0.3372934
558,0.113712944
559,-0.55266386
560,-0.5341025
561,-0.5521909
562,-0.15424569
563,-0.5170611
564,-0.33061653
565,-0.4051586
566,-0.22929898
567,-0.61946535
568,-0.80301785
569,-0.4852929
570,-0.22849295
571,-0.6321625
572,-0.34333304
573,-0.71123123
574,0.22974329
575,-0.6297409
576,-0.68377614
577,-0.2982713
578,0.14603911
579,-0.61777633
580,-0.80994076
581,-0.5741909
582,0.13864277
583,0.043168183
584,0.78175175
585,-0.23680554
586,0.33538893
587,0.6493549
588,-0.78171766
589,-0.7952472
590,0.60139173
591,-0.14159422
592,0.25569513
593,-0.054640185
594,0.5764503
595,-0.036189638
596,0.25871474
597,-0.7385677
598,-0.7533218
599,-0.19561425
600,-0.028997943
601,-0.624954
602,-0.5915893
603,-0.5481517
604,-0.03612531
605,-0.61520725
606,-0.5303608
607,-0.54183877
608,0.056727715
609,-0.6772348
610,-0.47319883
611,-0.5834753
612,0.049324505
613,-0.50986075
614,-0.67728615
615,-0.37762353
616,0.065127686
617,-0.23766774
618,0.4711277
619,-0.044639032
620,0.43592352
621,-0.7089744
622,-0.35397863
623,-0.6876764
624,0.05403828
625,-0.24573812
626,0.4539944
627,-0.4665785
628,-0.7420738
629,0.12833264
630,0.46388122
631,-0.5962723
632,-0.04138534
633,0.0964863
634,-0.07555144
635,-0.33954802
636,0.13911077
637,-0.28081024
638,0.094111346
639,-0.3955149
640,-0.051725436
641,-0.10958676
642,0.39511603
643,-0.31040862
644,0.59001297
645,-0.6087703
646,0.09748432
647,-0.7390607
648,0.74989355
649,-0.6657446
650,-0.5402525
651,-0.14519396
652,-0.8939851
653,-0.6146117
654,-0.1631142
655,-1.0276769
656,-0.28880733
657,-0.5932081
658,-0.6469427
659,-0.39097413
660,-0.22727202
661,0.52059466
662,0.88470054
663,-0.5519041
664,-0.2614229
665,0.6230846
666,0.6499962
667,-0.55049866
668,-0.32649818
669,0.4214053
670,-0.5701021
671,-0.293311
672,0.003535214
673,1.0978042
674,-0.4201379
675,-0.21614625
676,0.36289886
677,0.8645701
678,-0.576597
679,-0.28730083
680,0.3853715
681,0.7051872
682,-0.5219363
683,-0.42272434
684,0.58736277
685,0.5907153
686,-0.4812934
687,-0.13130175
688,0.7203745
689,0.84637755
690,-0.51142406
691,-0.050370928
692,0.5479812
693,1.0732673
694,-0.7685972
695,0.18961339
696,-0.59607506
697,-0.6820432
698,-0.6107267
699,0.14434156
700,-0.63079685
701,-0.40306008
702,-0.58466005
703,-0.12908298
704,-0.7569835
705,-0.26164094
706,-0.8657863
707,-0.41461962
708,-0.5909743
709,-0.41539496
710,-0.36517054
711,-0.4246896
712,-0.64184296
713,-1.1010534
714,-0.73422885
715,-0.08519599
716,-0.58535224
717,-0.18384095
718,0.2742866
719,0.47665533
720,-0.4825616
721,-0.026255677
722,0.4291253
723,0.85048836
724,-0.47064126
725,-0.46484405
726,0.4736064
727,0.8530503
728,-0.5741121
729,-0.4062935
730,-0.15097778
731,0.7438825
732,-0.44935074
733,-0.59358686
734,-0.2804704
735,0.7200654
736,-0.72082233
737,-0.03704442
738,0.30240658
739,-0.1371319
740,0.35791785
741,0.009990529
742,0.19018525
743,-0.20449841
744,0.3607983
745,-0.18107612
746,0.29490557
747,-0.15206046
748,0.3217521
749,-0.20426945
750,0.48323464
751,0.24910393
752,-0.23804404
753,0.34701794
754,-0.30924654
755,0.37479073
756,-0.052957073
757,0.4500222
758,-0.079687275
759,0.33906356
760,-0.14254028
761,0.4254599
762,-0.10224945
763,0.44826746
764,-0.07276135
765,0.36397862
766,-0.05539119
767,0.33667105
768,0.030868364
769,0.5231023
770,-0.21578974
771,0.17735808
772,0.015778616
773,0.49257013
774,0.34824154
775,-0.028479919
776,0.16625167
777,-0.013189616
778,0.33080578
779,-0.11796277
780,0.064061575
781,-0.0044231215
782,-0.81435955
783,-0.1768917
784,0.52465785
785,-0.22503558
786,0.454724
787,0.5287682
788,0.010798235
789,0.43383175
790,-0.119907625
791,0.42691824
792,-0.019866232
793,-0.14108562
794,0.43971875
795,-0.15227272
796,0.3305418
797,-0.63513863
798,0.3608814
799,-0.025071565
800,0.37542513
801,-0.08619695
802,-0.54502994
803,-0.0533493
804,0.4758693
805,-0.31919363
806,0.38411996
807,0.031182673
808,0.42151567
809,-0.24547455
810,0.34367013
811,0.009341063
812,0.34851447
813,-0.19651736
814,-0.28843406
815,0.1584013
816,-0.025774222
817,-0.3909887
818,0.3782722
819,-0.051725436
820,-0.67268723
821,-0.101777844
822,0.0014532609
823,-0.4368826
824,0.7024166
825,-0.09131674
826,-0.22812356
827,-0.22987062
828,0.29988956
829,0.09104188
830,-0.36730635
831,0.011334213
832,-0.09965391
833,-0.30479088
834,-0.0064989524
835,0.014870354
836,-0.25293264
837,-0.1831509
838,-0.2571562
839,-0.22183965
840,0.19703558
841,-0.20945492
842,-0.32691172
843,0.7552961
844,-0.08101032
845,0.09782561
846,0.17868109
847,-0.15238361
848,-0.27198178
849,-0.65834045
850,0.23854907
851,-0.09974682
852,-0.041335236
853,-0.15497142
854,0.49346057
855,-0.04305457
856,0.4524278
857,-0.57775944
858,0.7320778
859,-0.15601201
860,0.32907742
861,-0.35265774
862,0.79072917
863,-0.079732634
864,0.385234
865,-0.30553368
866,0.53845686
867,0.12946044
868,-0.14637634
869,-0.8515465
870,0.20577896
871,0.15962462
872,0.022346491
873,-0.13493715
874,0.41916758
875,-0.0016883956
876,-0.21915619
877,-0.022020016
878,0.22941013
879,-0.23120168
880,0.434599
881,0.04901626
882,-0.14323121
883,0.10421507
884,-0.037795223
885,-0.11811299
886,0.22111286
887,-0.46006405
888,0.24125226
889,-0.49933693
890,0.10254991
891,0.3075204
892,-0.027037613
893,0.30532667
894,-0.21429655
895,0.10453978
896,-0.12996161
897,0.18966341
898,-0.7511339
899,-1.0587271
900,-0.66442305
901,-0.96918243
902,-0.45935023
903,-0.53587884
904,-0.40743542
905,-0.93710196
906,0.07406544
907,-0.791646
908,1.4172465
909,0.637047
910,0.07481072
911,-0.20680875
912,1.1049672
913,0.26670867
914,0.08528483
915,0.10060278
916,1.4066294
917,0.41718656
918,-0.122968145
919,-0.0555004
920,1.2164531
921,0.40364957
922,0.13415936
923,-0.45934638
924,1.0150717
925,0.52026105
926,0.24331842
927,-0.14251344
928,-0.45384166
929,0.30732572
930,0.16989999
931,-0.29804915
932,1.4897499
933,0.3858846
934,0.5030946
935,-0.20604055
936,1.4562217
937,-0.023545468
938,0.42297766
939,-0.62939095
940,0.9008328
941,0.3179698
942,0.020640364
943,-0.45360532
944,1.6897373
945,0.25869134
946,-0.03023027
947,-0.3102704
948,1.3514899
949,0.37908736
950,-0.109376475
951,-0.21687374
952,1.604693
953,-0.062079187
954,0.24509344
955,0.2862253
956,0.20312126
957,0.21767892
958,-0.08890234
959,-0.52819926
960,1.6887938
961,0.55242735
962,-0.29006767
963,-0.83904684
964,1.3534925
965,0.49269557
966,0.065245576
967,-0.4981094
968,1.3860437
969,0.4767479
970,0.3826003
971,-1.8565907
972,1.3222427
973,0.5303847
974,0.19631538
975,-0.32732624
976,1.229138
977,0.56722397
978,-0.04151338
979,-0.06019371
980,1.3122623
981,0.38778928
982,-0.18469846
983,-0.22019935
984,1.6374704
985,0.64410424
986,0.088311896
987,-0.0591083
988,1.469509
989,0.50042146
990,-0.026286727
991,-0.19418542
992,1.4434496
993,0.61604995
994,0.41632962
995,0.53208333
996,0.39895225
997,0.48998874
998,0.40159446
999,-0.07257973
1000,-0.38203555
1001,0.089613594
1002,-0.081384875
1003,-0.57815576
1004,0.10170739
1005,-0.09893305
1006,0.32865205
1007,0.50506485
1008,0.18284683
1009,-0.39998382
1010,0.5311069
1011,0.08540853
1012,0.113662295
1013,-0.8521585
1014,0.18665728
1015,-0.0702805
1016,0.38468984
1017,-0.81209457
1018,0.51002365
1019,-0.012688214
1020,0.108045176
1021,-0.5048257
1022,0.41892162
1023,0.16236083
1024,0.084903225
1025,-0.6811225
1026,0.6497681
1027,0.033607915
1028,0.019828312
1029,-0.41849557
1030,0.4440901
1031,0.10473438
1032,0.009511622
1033,-0.3696963
1034,0.63570607
1035,0.108968444
1036,0.07483441
1037,-0.41565454
1038,0.21725994
1039,-1.0768642
1040,0.72687906
1041,-0.025095824
1042,-0.5757397
1043,0.42702162
1044,0.21315356
1045,0.018897086
1046,-0.5723495
1047,0.8186687
1048,0.61125284
1049,-0.7512255
1050,0.38683772
1051,-0.085074
1052,0.3736381
1053,-1.0298656
1054,0.54446024
1055,0.20046513
1056,0.25411212
1057,-0.78756106
1058,0.43589786
1059,0.058579143
1060,0.24413216
1061,-0.6016381
1062,0.375141
1063,0.05088528
1064,0.08728315
1065,-0.90811557
1066,0.26625654
1067,0.13202779
1068,0.1870538
1069,-0.9111929
1070,0.4083362
1071,0.059254017
1072,0.056806482
1073,-0.71563894
1074,0.45012394
1075,0.04052236
1076,0.031128673
1077,-0.6835444
1078,0.3646165
1079,-0.01579493
1080,0.27497384
1081,-0.7645115
1082,0.1012885
1083,-0.1558325
1084,1.8191471
1085,-1.9813896
1086,0.26233497
1087,0.014117446
1088,1.697933
1089,-1.1671811
1090,0.48814255
1091,-0.34793934
1092,1.7169949
1093,-2.3561623
1094,0.20435326
1095,-0.52667445
1096,1.9845643
1097,-1.5881431
1098,0.037063308
1099,-0.22784215
1100,2.2152674
1101,-1.5588288
1102,0.007404804
1103,-0.1839127
1104,2.1953852
1105,-1.0830177
1106,0.11329754
1107,1.609386
1108,-1.4575408
1109,0.8506314
1110,-0.63306683
1111,1.9387336
1112,-1.6257551
1113,-0.5648556
1114,-1.0741695
1115,0.07106286
1116,-0.41589522
1117,1.6803546
1118,-1.9202619
1119,-0.25801498
1120,-0.11889909
1121,1.4300839
1122,-1.6482819
1123,0.025304105
1124,-0.6603314
1125,1.6566081
1126,-2.0042481
1127,-0.5781442
1128,-0.9893508
1129,1.5599673
1130,-1.8834879
1131,0.03689578
1132,-0.28686607
1133,2.2848845
1134,-1.1411449
1135,-0.19985631
1136,-0.1255033
1137,2.0811152
1138,-1.9243884
1139,-0.33533663
1140,0.07138772
1141,-0.69122
1142,2.1255531
1143,-2.39541
1144,0.13402009
1145,-0.09672285
1146,2.0441804
1147,-1.6603335
1148,0.21260802
1149,-0.32597774
1150,0.9526498
1151,-1.6974286
1152,0.08690647
1153,0.03021929
1154,-0.04704543
1155,0.24210224
1156,-0.34171396
1157,0.32162225
1158,0.18142876
1159,0.21171874
1160,0.017462168
1161,0.07395423
1162,0.06466935
1163,0.31560898
1164,-0.021754429
1165,-0.029406803
1166,0.1668459
1167,0.09245452
1168,-0.042807654
1169,0.16551754
1170,-0.051820822
1171,0.46168453
1172,0.0062369704
1173,0.25201556
1174,-0.06535512
1175,-0.24468902
1176,-0.24568602
1177,-0.1686444
1178,-0.5420995
1179,-0.2222122
1180,-0.30359998
1181,-0.31114885
1182,-0.38852888
1183,-0.090016805
1184,-0.22582361
1185,-0.59072506
1186,-0.5245965
1187,-0.633246
1188,-0.1403347
1189,-0.22972374
1190,-0.27676603
1191,-0.5329221
1192,0.13041067
1193,0.45527807
1194,-0.5367207
1195,-0.3283131
1196,0.07860699
1197,-0.3114917
1198,-0.29076067
1199,-0.505098
1200,0.05045768
1201,-0.39817244
1202,-0.022990784
1203,-0.09582315
1204,-0.27318254
1205,0.063443586
1206,-0.06060709
1207,-0.40828314
1208,-1.4624518
1209,-0.26201358
1210,-0.24726759
1211,0.18456614
1212,-0.5258484
1213,0.017230969
1214,-0.21854553
1215,0.18917239
1216,-0.042942308
1217,-0.2629219
1218,0.05956982
1219,-0.31164914
1220,-0.4231273
1221,0.041263927
1222,-0.22106953
1223,-0.3168552
1224,-0.20115063
1225,0.07138766
1226,-0.23289943
1227,-0.15437743
1228,0.31873223
1229,-0.048346475
1230,-0.43623295
1231,0.29753092
1232,-0.9709808
1233,0.35603136
1234,0.49743974
1235,0.18410744
1236,0.2561725
1237,-1.0275872
1238,0.17700677
1239,0.21691608
1240,0.33652198
1241,0.29909933
1242,0.6982148
1243,0.48482051
1244,-0.6787191
1245,0.3250857
1246,0.5254731
1247,-0.48513588
1248,0.19307323
1249,0.10299427
1250,0.56780285
1251,0.0010162373
1252,-0.28472134
1253,-0.6575027
1254,-0.45614472
1255,-0.25191638
1256,-0.8691014
1257,-0.7456535
1258,-0.021331916
1259,-0.43965617
1260,-0.44488105
1261,-0.55078965
1262,-0.013117725
1263,-0.48403776
1264,-0.45170215
1265,-0.65121156
1266,-0.108871095
1267,-0.83093786
1268,-0.43512443
1269,-0.15253596
1270,-0.58137375
1271,-0.5188058
1272,-0.3125053
1273,-0.028147507
1274,-0.50690734
1275,-1.3627532
1276,-2.5148501
1277,-0.62525725
1278,-0.59307337
1279,-0.53710085
1280,0.38969186
1281,-0.5914605
1282,-0.5419597
1283,-0.38864785
1284,0.070956156
1285,-0.6303258
1286,-0.4683111
1287,0.08718552
1288,-0.3024527
1289,0.02055201
1290,-0.24165958
1291,0.44910353
1292,-0.72181684
1293,-0.10367973
1294,-0.4026248
1295,-0.10031948
1296,-0.21973397
1297,-0.26471907
1298,-0.30773187
1299,-0.364756
1300,0.2647872
1301,-0.5312494
1302,-0.32938147
1303,0.46373048
1304,-0.4704311
1305,-0.07993023
1306,0.2105103
1307,-0.64360934
1308,-0.51730436
1309,0.57368267
1310,1.6114994
1311,-0.9023981
1312,-0.23099232
1313,0.42042547
1314,0.70761776
1315,-0.48482984
1316,-0.43044427
1317,0.24478352
1318,1.294518
1319,-0.5590397
1320,-0.61477435
1321,-0.10155569
1322,0.5678792
1323,-0.5503071
1324,0.29263145
1325,-0.084318094
1326,0.53716993
1327,-0.6593494
1328,-0.10616189
1329,0.50971496
1330,0.3226077
1331,-0.64711154
1332,-0.49882972
1333,0.33366832
1334,0.28908104
1335,-0.5817429
1336,0.028405644
1337,0.12857798
1338,1.315296
1339,-0.77491355
1340,-0.4173545
1341,-0.26108807
1342,0.3515043
1343,0.33678758
1344,0.22839865
1345,0.359855
1346,-0.000104600564
1347,0.52363634
1348,-0.5499467
1349,-0.772117
1350,-0.23849747
1351,-0.0443787
1352,-0.6475882
1353,-0.7706714
1354,0.16633274
1355,-0.6310716
1356,-0.816758
1357,-0.66755867
1358,-0.18141815
1359,-0.7967488
1360,-0.8196367
1361,0.10551735
1362,0.34690621
1363,-0.009136537
1364,0.31105962
1365,-0.11947347
1366,-0.37816158
1367,-0.061883703
1368,0.54319704
1369,-0.1544697
1370,0.33318797
1371,-0.21233043
1372,0.43325153
1373,-0.20282303
1374,0.23610264
1375,-0.024359168
1376,0.50622445
1377,-0.47829303
1378,0.33783567
1379,-0.023888607
1380,-0.108006895
1381,0.26317826
1382,-0.27945206
1383,-0.08813672
1384,0.011974823
1385,-0.74403846
1386,-0.8169153
1387,0.009645334
1388,-0.157452
1389,0.32986125
1390,-0.070001945
1391,-0.0343155
1392,-0.19319843
1393,-0.05435224
1394,-0.15869306
1395,0.13089524
1396,-0.14097695
1397,-0.18274695
1398,0.06714532
1399,0.038788706
1400,-0.59664667
1401,0.05667603
1402,-0.07216243
1403,-0.35536975
1404,-0.21539912
1405,0.15007679
1406,-0.59563434
1407,0.11500232
1408,-0.105528474
1409,-0.100115106
1410,0.07648026
1411,-0.0075785695
1412,-0.37409055
1413,-0.031252503
1414,0.26581064
1415,-0.21118054
1416,1.0878991
1417,0.046895914
1418,-0.46425104
1419,0.24330287
1420,-0.19202456
1421,-0.69195426
1422,0.3489952
1423,-0.03578215
1424,-0.34276965
1425,0.18646571
1426,0.30874565
1427,-0.4593642
1428,0.2455253
1429,-0.39363095
1430,-0.34815544
1431,0.6491968
1432,-0.6934329
1433,-0.30854404
1434,0.076611616
1435,-0.6656573
1436,-0.50386286
1437,-0.3219126
1438,-0.8466337
1439,-0.4111899
1440,-0.35755965
1441,-0.8643831
1442,-0.07739866
1443,-0.5167001
1444,-0.96275556
1445,-0.23674251
1446,-0.55452436
1447,-0.8818668
1448,-0.97463775
1449,-0.0039521125
1450,0.25631323
1451,0.08957446
1452,-0.03316207
1453,1.1065753
1454,0.5511644
1455,0.12695785
1456,-0.32375914
1457,1.5662111
1458,0.40713185
1459,-0.2753793
1460,-0.14029427
1461,1.683488
1462,0.28917742
1463,0.26217118
1464,0.21952274
1465,1.4738829
1466,0.31768554
1467,0.22694339
1468,-0.69061416
1469,1.3569483
1470,0.47559074
1471,-0.61125654
1472,-0.20069706
1473,0.27540165
1474,-0.005702229
1475,-0.18880646
1476,0.9968154
1477,0.59687597
1478,0.08127596
1479,-0.12546688
1480,0.9920282
1481,0.6164743
1482,0.18817073
1483,-0.3017797
1484,1.3613796
1485,0.46933234
1486,0.033557452
1487,-0.08912863
1488,1.5611647
1489,0.5419437
1490,-0.74687743
1491,-0.32900554
1492,0.41671732
1493,-0.116629966
1494,0.08829802
1495,0.20753394
1496,-0.17075495
1497,0.0817939
1498,-0.17529051
1499,-0.19798143
1500,-0.24581838
1501,-0.8865761
1502,-0.050293397
1503,0.057167258
1504,-0.07891481
1505,-0.92982626
1506,-0.24676791
1507,0.18822987
1508,-0.05720033
1509,-1.00119
1510,-0.3333495
1511,-0.00010164501
1512,-0.17796838
1513,-0.92758083
1514,-0.2664498
1515,0.33620527
1516,-0.09923402
1517,-0.99579865
1518,-0.37316746
1519,0.2585618
1520,-0.12743747
1521,0.25455537
1522,0.33811912
1523,-0.034893423
1524,0.31148925
1525,0.05054392
1526,-0.79963475
1527,-0.25525522
1528,0.48076266
1529,-0.6929699
1530,-0.29913646
1531,-0.90412295
1532,0.21836786
1533,0.06971853
1534,-0.8933898
1535,0.086975195
1536,-0.49536106
1537,-0.25066695
1538,-0.9798161
1539,-0.17379807
1540,-0.94255203
1541,0.011092597
1542,-0.9510591
1543,-0.15607736
1544,-0.5092053
1545,-0.1304365
1546,-0.6351913
1547,-0.17688292
1548,0.19192608
1549,0.514487
1550,0.18419617
1551,-0.035492226
1552,-0.724377
1553,0.085440375
1554,0.1279392
1555,0.12582962
1556,-0.9313268
1557,0.3078385
1558,0.38234937
1559,0.43464595
1560,-0.7065107
1561,0.056989335
1562,0.20865485
1563,-0.07065216
1564,1.963508
1565,-1.5578533
1566,0.08978422
1567,0.028188782
1568,1.3687738
